filename,cls,xymin,xymax,names
ILSVRC2012_val_00049943,n03028079,"(0, 16)","(423, 497)","church, church building"
ILSVRC2012_val_00049942,n02106166,"(67, 8)","(348, 337)",Border collie
ILSVRC2012_val_00049941,n04192698,"(11, 7)","(488, 468)","shield, buckler"
ILSVRC2012_val_00049940,n03208938,"(569, 83)","(2373, 1945)","disk brake, disc brake"
ILSVRC2012_val_00049939,n02110627,"(260, 292)","(444, 496)","affenpinscher, monkey pinscher, monkey dog"
ILSVRC2012_val_00049938,n03133878,"(0, 86)","(498, 401)",Crock Pot
ILSVRC2012_val_00049937,n01860187,"(65, 108)","(283, 292)","black swan, Cygnus atratus"
ILSVRC2012_val_00049936,n02536864,"(139, 168)","(412, 272)","coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch"
ILSVRC2012_val_00049935,n03733281,"(0, 139)","(473, 374)","maze, labyrinth"
ILSVRC2012_val_00049934,n02104029,"(37, 7)","(499, 374)",kuvasz
ILSVRC2012_val_00049933,n01751748,"(168, 158)","(376, 214)",sea snake
ILSVRC2012_val_00049932,n03991062,"(195, 116)","(379, 266)","pot, flowerpot"
ILSVRC2012_val_00049931,n02088238,"(0, 39)","(175, 346)","basset, basset hound"
ILSVRC2012_val_00049930,n03482405,"(4, 58)","(638, 399)",hamper
ILSVRC2012_val_00049929,n04557648,"(82, 290)","(312, 498)",water bottle
ILSVRC2012_val_00049928,n07892512,"(17, 61)","(276, 416)",red wine
ILSVRC2012_val_00049927,n04532106,"(33, 63)","(292, 488)",vestment
ILSVRC2012_val_00049926,n02094114,"(11, 8)","(453, 445)",Norfolk terrier
ILSVRC2012_val_00049925,n04465501,"(60, 2)","(468, 372)",tractor
ILSVRC2012_val_00049924,n03676483,"(245, 217)","(285, 397)","lipstick, lip rouge"
ILSVRC2012_val_00049923,n04147183,"(59, 0)","(191, 293)",schooner
ILSVRC2012_val_00049922,n04456115,"(121, 44)","(454, 287)",torch
ILSVRC2012_val_00049921,n04554684,"(2, 0)","(498, 417)","washer, automatic washer, washing machine"
ILSVRC2012_val_00049920,n02977058,"(80, 2)","(321, 416)","cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM"
ILSVRC2012_val_00049919,n03400231,"(0, 0)","(499, 374)","frying pan, frypan, skillet"
ILSVRC2012_val_00049918,n03250847,"(248, 1)","(282, 215)",drumstick
ILSVRC2012_val_00049917,n04505470,"(10, 134)","(499, 336)",typewriter keyboard
ILSVRC2012_val_00049916,n03627232,"(4, 4)","(499, 371)",knot
ILSVRC2012_val_00049915,n02500267,"(0, 23)","(307, 498)","indri, indris, Indri indri, Indri brevicaudatus"
ILSVRC2012_val_00049914,n01930112,"(1, 55)","(474, 222)","nematode, nematode worm, roundworm"
ILSVRC2012_val_00049913,n03992509,"(100, 151)","(368, 280)",potter's wheel
ILSVRC2012_val_00049912,n02437312,"(51, 158)","(326, 280)","Arabian camel, dromedary, Camelus dromedarius"
ILSVRC2012_val_00049911,n02787622,"(113, 128)","(348, 375)",banjo
ILSVRC2012_val_00049910,n03717622,"(16, 15)","(486, 485)",manhole cover
ILSVRC2012_val_00049909,n02777292,"(0, 348)","(593, 388)","balance beam, beam"
ILSVRC2012_val_00049908,n02113978,"(198, 67)","(458, 481)",Mexican hairless
ILSVRC2012_val_00049907,n03063689,"(16, 17)","(433, 349)",coffeepot
ILSVRC2012_val_00049906,n12057211,"(142, 188)","(216, 316)","yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum"
ILSVRC2012_val_00049905,n01955084,"(76, 52)","(515, 522)","chiton, coat-of-mail shell, sea cradle, polyplacophore"
ILSVRC2012_val_00049904,n02877765,"(260, 271)","(349, 392)",bottlecap
ILSVRC2012_val_00049903,n02892201,"(105, 89)","(403, 293)","brass, memorial tablet, plaque"
ILSVRC2012_val_00049902,n02481823,"(73, 13)","(380, 565)","chimpanzee, chimp, Pan troglodytes"
ILSVRC2012_val_00049901,n02108422,"(7, 163)","(346, 498)",bull mastiff
ILSVRC2012_val_00049900,n12267677,"(156, 219)","(222, 301)",acorn
ILSVRC2012_val_00049899,n01614925,"(48, 65)","(407, 351)","bald eagle, American eagle, Haliaeetus leucocephalus"
ILSVRC2012_val_00049898,n01629819,"(99, 101)","(432, 201)","European fire salamander, Salamandra salamandra"
ILSVRC2012_val_00049897,n02326432,"(84, 11)","(299, 200)",hare
ILSVRC2012_val_00049896,n02786058,"(76, 184)","(106, 226)",Band Aid
ILSVRC2012_val_00049895,n02108915,"(100, 41)","(298, 426)",French bulldog
ILSVRC2012_val_00049894,n02088094,"(89, 10)","(469, 390)","Afghan hound, Afghan"
ILSVRC2012_val_00049893,n02107683,"(193, 60)","(497, 374)",Bernese mountain dog
ILSVRC2012_val_00049892,n03843555,"(145, 28)","(499, 374)",oil filter
ILSVRC2012_val_00049891,n03467068,"(0, 7)","(499, 384)",guillotine
ILSVRC2012_val_00049890,n04154565,"(84, 42)","(499, 122)",screwdriver
ILSVRC2012_val_00049889,n02701002,"(50, 38)","(471, 332)",ambulance
ILSVRC2012_val_00049888,n03706229,"(42, 0)","(460, 279)",magnetic compass
ILSVRC2012_val_00049887,n03240683,"(16, 101)","(165, 265)","drilling platform, offshore rig"
ILSVRC2012_val_00049886,n02119022,"(97, 69)","(559, 350)","red fox, Vulpes vulpes"
ILSVRC2012_val_00049885,n09246464,"(0, 6)","(373, 498)","cliff, drop, drop-off"
ILSVRC2012_val_00049884,n02113186,"(1, 6)","(222, 231)","Cardigan, Cardigan Welsh corgi"
ILSVRC2012_val_00049883,n03146219,"(46, 205)","(322, 493)",cuirass
ILSVRC2012_val_00049882,n02817516,"(90, 8)","(154, 81)","bearskin, busby, shako"
ILSVRC2012_val_00049881,n02110341,"(134, 33)","(398, 338)","dalmatian, coach dog, carriage dog"
ILSVRC2012_val_00049880,n03775071,"(260, 2)","(499, 299)",mitten
ILSVRC2012_val_00049879,n07873807,"(1, 1)","(373, 498)","pizza, pizza pie"
ILSVRC2012_val_00049878,n02088094,"(27, 92)","(405, 452)","Afghan hound, Afghan"
ILSVRC2012_val_00049877,n07716358,"(128, 161)","(497, 370)","zucchini, courgette"
ILSVRC2012_val_00049876,n04235860,"(33, 19)","(499, 295)",sleeping bag
ILSVRC2012_val_00049875,n07717556,"(211, 27)","(498, 438)",butternut squash
ILSVRC2012_val_00049874,n03180011,"(92, 0)","(440, 374)",desktop computer
ILSVRC2012_val_00049873,n03272010,"(119, 179)","(450, 330)",electric guitar
ILSVRC2012_val_00049872,n07920052,"(0, 32)","(432, 374)",espresso
ILSVRC2012_val_00049871,n02105855,"(31, 78)","(242, 315)","Shetland sheepdog, Shetland sheep dog, Shetland"
ILSVRC2012_val_00049870,n04435653,"(0, 0)","(499, 374)",tile roof
ILSVRC2012_val_00049869,n03124170,"(12, 126)","(326, 411)","cowboy hat, ten-gallon hat"
ILSVRC2012_val_00049868,n02101388,"(3, 156)","(438, 374)",Brittany spaniel
ILSVRC2012_val_00049867,n02974003,"(83, 166)","(469, 452)",car wheel
ILSVRC2012_val_00049866,n02408429,"(225, 112)","(356, 238)","water buffalo, water ox, Asiatic buffalo, Bubalus bubalis"
ILSVRC2012_val_00049865,n02356798,"(16, 112)","(109, 362)","fox squirrel, eastern fox squirrel, Sciurus niger"
ILSVRC2012_val_00049864,n03134739,"(488, 427)","(524, 442)",croquet ball
ILSVRC2012_val_00049863,n04367480,"(125, 46)","(248, 459)","swab, swob, mop"
ILSVRC2012_val_00049862,n12768682,"(150, 324)","(304, 445)","buckeye, horse chestnut, conker"
ILSVRC2012_val_00049861,n02090622,"(76, 53)","(469, 573)","borzoi, Russian wolfhound"
ILSVRC2012_val_00049860,n03404251,"(58, 151)","(333, 475)",fur coat
ILSVRC2012_val_00049859,n04483307,"(25, 1)","(798, 478)",trimaran
ILSVRC2012_val_00049858,n13044778,"(158, 72)","(327, 234)",earthstar
ILSVRC2012_val_00049857,n02101388,"(163, 73)","(393, 374)",Brittany spaniel
ILSVRC2012_val_00049856,n03803284,"(374, 176)","(427, 247)",muzzle
ILSVRC2012_val_00049855,n02099601,"(114, 138)","(249, 282)",golden retriever
ILSVRC2012_val_00049854,n04040759,"(152, 55)","(436, 372)",radiator
ILSVRC2012_val_00049853,n04493381,"(3, 197)","(465, 497)","tub, vat"
ILSVRC2012_val_00049852,n03388043,"(433, 171)","(476, 304)",fountain
ILSVRC2012_val_00049851,n01682714,"(58, 228)","(390, 322)","American chameleon, anole, Anolis carolinensis"
ILSVRC2012_val_00049850,n04238763,"(287, 46)","(385, 102)","slide rule, slipstick"
ILSVRC2012_val_00049849,n02090622,"(43, 25)","(267, 398)","borzoi, Russian wolfhound"
ILSVRC2012_val_00049848,n03131574,"(0, 0)","(499, 373)","crib, cot"
ILSVRC2012_val_00049847,n03837869,"(0, 33)","(370, 498)",obelisk
ILSVRC2012_val_00049846,n02094114,"(48, 73)","(449, 321)",Norfolk terrier
ILSVRC2012_val_00049845,n02169497,"(213, 58)","(391, 326)","leaf beetle, chrysomelid"
ILSVRC2012_val_00049844,n04136333,"(103, 265)","(219, 403)",sarong
ILSVRC2012_val_00049843,n02704792,"(49, 27)","(602, 263)","amphibian, amphibious vehicle"
ILSVRC2012_val_00049842,n03467068,"(0, 0)","(321, 498)",guillotine
ILSVRC2012_val_00049841,n02109961,"(54, 11)","(498, 404)","Eskimo dog, husky"
ILSVRC2012_val_00049840,n03776460,"(27, 122)","(346, 441)","mobile home, manufactured home"
ILSVRC2012_val_00049839,n04328186,"(2, 9)","(478, 374)","stopwatch, stop watch"
ILSVRC2012_val_00049838,n02910353,"(20, 235)","(491, 581)",buckle
ILSVRC2012_val_00049837,n03218198,"(74, 187)","(458, 239)","dogsled, dog sled, dog sleigh"
ILSVRC2012_val_00049836,n04254120,"(195, 54)","(294, 259)",soap dispenser
ILSVRC2012_val_00049835,n03047690,"(160, 26)","(246, 97)","clog, geta, patten, sabot"
ILSVRC2012_val_00049834,n02105056,"(140, 59)","(494, 370)",groenendael
ILSVRC2012_val_00049833,n01514859,"(40, 172)","(373, 498)",hen
ILSVRC2012_val_00049832,n07614500,"(45, 56)","(478, 374)","ice cream, icecream"
ILSVRC2012_val_00049831,n03877845,"(0, 7)","(499, 276)",palace
ILSVRC2012_val_00049830,n02396427,"(250, 97)","(441, 276)","wild boar, boar, Sus scrofa"
ILSVRC2012_val_00049829,n03803284,"(103, 201)","(223, 376)",muzzle
ILSVRC2012_val_00049828,n03527444,"(32, 57)","(345, 287)",holster
ILSVRC2012_val_00049827,n02814860,"(47, 8)","(173, 423)","beacon, lighthouse, beacon light, pharos"
ILSVRC2012_val_00049826,n02105412,"(62, 12)","(399, 262)",kelpie
ILSVRC2012_val_00049825,n03485794,"(0, 118)","(207, 352)","handkerchief, hankie, hanky, hankey"
ILSVRC2012_val_00049824,n02939185,"(0, 31)","(373, 485)","caldron, cauldron"
ILSVRC2012_val_00049823,n01748264,"(107, 54)","(343, 638)","Indian cobra, Naja naja"
ILSVRC2012_val_00049822,n02132136,"(284, 281)","(1010, 780)","brown bear, bruin, Ursus arctos"
ILSVRC2012_val_00049821,n03272562,"(20, 132)","(361, 286)",electric locomotive
ILSVRC2012_val_00049820,n04376876,"(231, 112)","(372, 228)",syringe
ILSVRC2012_val_00049819,n02088238,"(128, 143)","(381, 278)","basset, basset hound"
ILSVRC2012_val_00049818,n03785016,"(730, 519)","(1439, 1620)",moped
ILSVRC2012_val_00049817,n03775071,"(7, 20)","(484, 472)",mitten
ILSVRC2012_val_00049816,n02791270,"(0, 1)","(499, 374)",barbershop
ILSVRC2012_val_00049815,n02105056,"(96, 1)","(498, 276)",groenendael
ILSVRC2012_val_00049814,n03908714,"(43, 77)","(165, 263)",pencil sharpener
ILSVRC2012_val_00049813,n03673027,"(154, 2)","(499, 332)","liner, ocean liner"
ILSVRC2012_val_00049812,n04201297,"(18, 88)","(320, 433)",shoji
ILSVRC2012_val_00049811,n02112018,"(71, 46)","(326, 465)",Pomeranian
ILSVRC2012_val_00049810,n04179913,"(95, 301)","(337, 461)",sewing machine
ILSVRC2012_val_00049809,n02089867,"(99, 30)","(346, 373)","Walker hound, Walker foxhound"
ILSVRC2012_val_00049808,n04505470,"(39, 230)","(463, 429)",typewriter keyboard
ILSVRC2012_val_00049807,n04486054,"(284, 171)","(335, 205)",triumphal arch
ILSVRC2012_val_00049806,n03998194,"(150, 92)","(245, 137)","prayer rug, prayer mat"
ILSVRC2012_val_00049805,n02101556,"(125, 133)","(325, 405)","clumber, clumber spaniel"
ILSVRC2012_val_00049804,n04204238,"(7, 11)","(288, 267)",shopping basket
ILSVRC2012_val_00049803,n01560419,"(72, 77)","(365, 337)",bulbul
ILSVRC2012_val_00049802,n01774384,"(141, 155)","(267, 346)","black widow, Latrodectus mactans"
ILSVRC2012_val_00049801,n02071294,"(0, 169)","(89, 225)","killer whale, killer, orca, grampus, sea wolf, Orcinus orca"
ILSVRC2012_val_00049800,n02086079,"(185, 147)","(337, 256)","Pekinese, Pekingese, Peke"
ILSVRC2012_val_00049799,n03720891,"(105, 52)","(341, 285)",maraca
ILSVRC2012_val_00049798,n04209239,"(30, 0)","(316, 498)",shower curtain
ILSVRC2012_val_00049797,n04371774,"(82, 71)","(263, 348)",swing
ILSVRC2012_val_00049796,n07693725,"(0, 227)","(287, 473)","bagel, beigel"
ILSVRC2012_val_00049795,n03814906,"(161, 63)","(318, 463)",necklace
ILSVRC2012_val_00049794,n04523525,"(52, 33)","(142, 158)",vault
ILSVRC2012_val_00049793,n03443371,"(20, 13)","(295, 496)",goblet
ILSVRC2012_val_00049792,n02102480,"(60, 279)","(352, 450)",Sussex spaniel
ILSVRC2012_val_00049791,n04005630,"(178, 195)","(217, 245)","prison, prison house"
ILSVRC2012_val_00049790,n04019541,"(25, 451)","(47, 465)","puck, hockey puck"
ILSVRC2012_val_00049789,n03930630,"(71, 68)","(447, 300)","pickup, pickup truck"
ILSVRC2012_val_00049788,n02132136,"(0, 80)","(284, 229)","brown bear, bruin, Ursus arctos"
ILSVRC2012_val_00049787,n04357314,"(7, 13)","(172, 463)","sunscreen, sunblock, sun blocker"
ILSVRC2012_val_00049786,n02916936,"(56, 85)","(347, 437)",bulletproof vest
ILSVRC2012_val_00049785,n03692522,"(108, 123)","(196, 205)","loupe, jeweler's loupe"
ILSVRC2012_val_00049784,n03782006,"(0, 0)","(363, 374)",monitor
ILSVRC2012_val_00049783,n02007558,"(82, 23)","(400, 477)",flamingo
ILSVRC2012_val_00049782,n01669191,"(93, 50)","(432, 290)","box turtle, box tortoise"
ILSVRC2012_val_00049781,n02137549,"(229, 70)","(614, 201)",mongoose
ILSVRC2012_val_00049780,n02442845,"(175, 199)","(216, 226)",mink
ILSVRC2012_val_00049779,n02088632,"(188, 30)","(405, 262)",bluetick
ILSVRC2012_val_00049778,n02091134,"(1, 137)","(397, 294)",whippet
ILSVRC2012_val_00049777,n02777292,"(0, 272)","(331, 318)","balance beam, beam"
ILSVRC2012_val_00049776,n01558993,"(57, 112)","(300, 403)","robin, American robin, Turdus migratorius"
ILSVRC2012_val_00049775,n01601694,"(220, 101)","(326, 348)","water ouzel, dipper"
ILSVRC2012_val_00049774,n03950228,"(113, 52)","(303, 267)","pitcher, ewer"
ILSVRC2012_val_00049773,n01664065,"(0, 0)","(373, 378)","loggerhead, loggerhead turtle, Caretta caretta"
ILSVRC2012_val_00049772,n03782006,"(191, 94)","(317, 172)",monitor
ILSVRC2012_val_00049771,n04350905,"(47, 158)","(264, 374)","suit, suit of clothes"
ILSVRC2012_val_00049770,n02356798,"(207, 255)","(1169, 1063)","fox squirrel, eastern fox squirrel, Sciurus niger"
ILSVRC2012_val_00049769,n03891251,"(1, 3)","(499, 340)",park bench
ILSVRC2012_val_00049768,n04229816,"(303, 88)","(464, 288)",ski mask
ILSVRC2012_val_00049767,n03787032,"(32, 7)","(299, 158)",mortarboard
ILSVRC2012_val_00049766,n02090379,"(100, 0)","(398, 460)",redbone
ILSVRC2012_val_00049765,n04604644,"(12, 49)","(498, 361)","worm fence, snake fence, snake-rail fence, Virginia fence"
ILSVRC2012_val_00049764,n04548280,"(170, 123)","(342, 366)",wall clock
ILSVRC2012_val_00049763,n01968897,"(41, 0)","(495, 375)","chambered nautilus, pearly nautilus, nautilus"
ILSVRC2012_val_00049762,n02088466,"(1, 144)","(347, 374)","bloodhound, sleuthhound"
ILSVRC2012_val_00049761,n01873310,"(5, 0)","(331, 421)","platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus"
ILSVRC2012_val_00049760,n02095889,"(1, 42)","(327, 279)","Sealyham terrier, Sealyham"
ILSVRC2012_val_00049759,n03196217,"(87, 58)","(383, 303)",digital clock
ILSVRC2012_val_00049758,n04548362,"(92, 190)","(321, 360)","wallet, billfold, notecase, pocketbook"
ILSVRC2012_val_00049757,n02097298,"(47, 0)","(401, 478)","Scotch terrier, Scottish terrier, Scottie"
ILSVRC2012_val_00049756,n02088094,"(68, 55)","(246, 457)","Afghan hound, Afghan"
ILSVRC2012_val_00049755,n03218198,"(443, 0)","(499, 6)","dogsled, dog sled, dog sleigh"
ILSVRC2012_val_00049754,n04266014,"(17, 0)","(499, 374)",space shuttle
ILSVRC2012_val_00049753,n04522168,"(18, 17)","(498, 498)",vase
ILSVRC2012_val_00049752,n03180011,"(61, 134)","(1633, 1428)",desktop computer
ILSVRC2012_val_00049751,n02787622,"(0, 64)","(447, 374)",banjo
ILSVRC2012_val_00049750,n03792782,"(117, 218)","(274, 497)","mountain bike, all-terrain bike, off-roader"
ILSVRC2012_val_00049749,n02871525,"(0, 1)","(499, 372)","bookshop, bookstore, bookstall"
ILSVRC2012_val_00049748,n04398044,"(8, 24)","(492, 344)",teapot
ILSVRC2012_val_00049747,n03100240,"(34, 106)","(610, 466)",convertible
ILSVRC2012_val_00049746,n02037110,"(110, 52)","(463, 337)","oystercatcher, oyster catcher"
ILSVRC2012_val_00049745,n03776460,"(28, 30)","(451, 294)","mobile home, manufactured home"
ILSVRC2012_val_00049744,n02090721,"(25, 35)","(309, 209)",Irish wolfhound
ILSVRC2012_val_00049743,n03017168,"(0, 10)","(373, 440)","chime, bell, gong"
ILSVRC2012_val_00049742,n02281406,"(173, 45)","(259, 121)","sulphur butterfly, sulfur butterfly"
ILSVRC2012_val_00049741,n03697007,"(0, 151)","(499, 374)","lumbermill, sawmill"
ILSVRC2012_val_00049740,n02536864,"(119, 167)","(420, 342)","coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch"
ILSVRC2012_val_00049739,n02325366,"(151, 126)","(287, 225)","wood rabbit, cottontail, cottontail rabbit"
ILSVRC2012_val_00049738,n02641379,"(91, 161)","(131, 427)","gar, garfish, garpike, billfish, Lepisosteus osseus"
ILSVRC2012_val_00049737,n02747177,"(146, 23)","(323, 283)","ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin"
ILSVRC2012_val_00049736,n02927161,"(37, 1)","(497, 374)","butcher shop, meat market"
ILSVRC2012_val_00049735,n02124075,"(213, 170)","(382, 320)",Egyptian cat
ILSVRC2012_val_00049734,n02797295,"(0, 9)","(270, 374)","barrow, garden cart, lawn cart, wheelbarrow"
ILSVRC2012_val_00049733,n04286575,"(39, 216)","(85, 292)","spotlight, spot"
ILSVRC2012_val_00049732,n01698640,"(76, 105)","(499, 288)","American alligator, Alligator mississipiensis"
ILSVRC2012_val_00049731,n02114548,"(2, 82)","(380, 332)","white wolf, Arctic wolf, Canis lupus tundrarum"
ILSVRC2012_val_00049730,n02108915,"(31, 128)","(331, 445)",French bulldog
ILSVRC2012_val_00049729,n03538406,"(71, 281)","(356, 491)","horse cart, horse-cart"
ILSVRC2012_val_00049728,n04485082,"(60, 13)","(297, 467)",tripod
ILSVRC2012_val_00049727,n02536864,"(134, 5)","(386, 374)","coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch"
ILSVRC2012_val_00049726,n02074367,"(142, 108)","(498, 306)","dugong, Dugong dugon"
ILSVRC2012_val_00049725,n02106030,"(1, 2)","(498, 373)",collie
ILSVRC2012_val_00049724,n02808304,"(0, 1)","(373, 498)",bath towel
ILSVRC2012_val_00049723,n01744401,"(0, 160)","(336, 341)","rock python, rock snake, Python sebae"
ILSVRC2012_val_00049722,n02167151,"(121, 4)","(431, 312)","ground beetle, carabid beetle"
ILSVRC2012_val_00049721,n02814860,"(46, 50)","(237, 374)","beacon, lighthouse, beacon light, pharos"
ILSVRC2012_val_00049720,n09421951,"(0, 191)","(570, 329)","sandbar, sand bar"
ILSVRC2012_val_00049719,n02105056,"(175, 268)","(306, 465)",groenendael
ILSVRC2012_val_00049718,n04266014,"(258, 167)","(273, 200)",space shuttle
ILSVRC2012_val_00049717,n04367480,"(260, 70)","(412, 379)","swab, swob, mop"
ILSVRC2012_val_00049716,n09229709,"(269, 77)","(349, 153)",bubble
ILSVRC2012_val_00049715,n02113712,"(1, 83)","(333, 498)",miniature poodle
ILSVRC2012_val_00049714,n02894605,"(57, 244)","(499, 295)","breakwater, groin, groyne, mole, bulwark, seawall, jetty"
ILSVRC2012_val_00049713,n04525305,"(0, 3)","(261, 498)",vending machine
ILSVRC2012_val_00049712,n01443537,"(120, 40)","(194, 141)","goldfish, Carassius auratus"
ILSVRC2012_val_00049711,n02011460,"(46, 57)","(338, 450)",bittern
ILSVRC2012_val_00049710,n07720875,"(21, 168)","(392, 394)",bell pepper
ILSVRC2012_val_00049709,n03649909,"(60, 16)","(451, 358)","lawn mower, mower"
ILSVRC2012_val_00049708,n04070727,"(136, 71)","(272, 387)","refrigerator, icebox"
ILSVRC2012_val_00049707,n04081281,"(0, 1)","(499, 332)","restaurant, eating house, eating place, eatery"
ILSVRC2012_val_00049706,n02361337,"(50, 17)","(436, 467)",marmot
ILSVRC2012_val_00049705,n03710637,"(155, 98)","(304, 243)",maillot
ILSVRC2012_val_00049704,n02415577,"(0, 0)","(438, 334)","bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis"
ILSVRC2012_val_00049703,n01667114,"(102, 59)","(428, 243)",mud turtle
ILSVRC2012_val_00049702,n07614500,"(141, 293)","(233, 355)","ice cream, icecream"
ILSVRC2012_val_00049701,n04254120,"(7, 1)","(373, 498)",soap dispenser
ILSVRC2012_val_00049700,n04037443,"(0, 170)","(388, 280)","racer, race car, racing car"
ILSVRC2012_val_00049699,n03720891,"(104, 10)","(204, 325)",maraca
